gradid,imegrada,zupanija,gradonacelnik,brojstanovnika,povrsina,godinaosnutka,latitude,longitude,nadmorskavisina,nazivkvarta,brojkvartstan
1,Zagreb,Grad Zagreb,Tomislav Tomašević,777183,641.2,1094,45.8130,15.9775,122,Gornja Dubrava,58908
1,Zagreb,Grad Zagreb,Tomislav Tomašević,777183,641.2,1094,45.8130,15.9775,122,Maksimir,47989
1,Zagreb,Grad Zagreb,Tomislav Tomašević,777183,641.2,1094,45.8130,15.9775,122,Trešnjevka,119475
2,Split,Splitsko-dalmatinska,Ivica Puljak,162873,79,305,43.51,16.44,0,Bol,11550
2,Split,Splitsko-dalmatinska,Ivica Puljak,162873,79,305,43.51,16.44,0,Sućidar,10720
3,Rijeka,Primorsko-goranska,Marko Filipović,109775,44,1139,45.33,14.44,0,Zamet,7765
3,Rijeka,Primorsko-goranska,Marko Filipović,109775,44,1139,45.33,14.44,0,Sveti Nikola,7502
4,Osijek,Osječko-baranjska,Ivan Radić,97846,171,124,45.551,18.694,90,Tvrđa,10277
6,Požega,Požeško-slavonska,Željko Glavić,22564,133.91,1100,45.33,17.67,152,Sajmište,5432
7,Varaždin,Varaždinska,Neven Bosilj,44364,59.45,1181,46.31,16.33,173,Hrašćica,1283
19,Vinkovci,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Centar,8000
19,Vinkovci,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Šećerana,6000
19,Vinkovci,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Mitnica,5000
20,Virovitica,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Centar,8000
20,Virovitica,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Šećerana,6000
20,Virovitica,Vukovarsko-srijemska,Ivan Bosančić,33121,102.85,1232,45.2886,18.8057,90,Mitnica,5000
10,Dubrovnik,Dubrovačko-neretvanska,Mato Franković,42005,143.35,600,42.6402,18.1083,3,,
5,Slavonski Brod,Brodsko-posavska,Mirko Duspara,51264,50.27,1224,45.16,18.01,96,,
8,Pula,Istarska,Filip Zoričić,52920,51.65,-177,44.87,13.85,30,,
9,Zadar,Zadarska,Marko Vučetić,71475,194,-59,44.12,15.24,0,,
